Sl. No.,State/U.T.,Area,BalwadiNOI,Balwadi.Teachers.M,Balwadi.Teachers.F,AnganwadiNOI,Anganwadi +AC0- Teachers +AC0- M,Anganwadi +AC0- Teachers +AC0- F,ECCENOI,ECCE+AC0- Teachers +AC0- M,ECCE+AC0- Teachers +AC0- F,preprimaryNOI,preprimary+AC0- Teachers +AC0- M,preprimary+AC0- Teachers +IBM- F,UnrecognisedNOI,Unrecognised +AC0- Teachers +AC0- M,Unrecognised +AC0- Teachers +AC0- F
1,Andaman and Nicobar Islands,R,19,0,24,395,0,425,8,0,8,24,6,39,6,2,12
1,Andaman and Nicobar Islands,U,1,0,1,174,0,173,0,0,0,17,2,77,0,0,0
1,Andaman and Nicobar Islands,T,20,0,25,569,0,598,8,0,8,41,8,116,6,2,12
2,Andhra Pradesh,R,623,31,573,46160,1197,45686,562,11,544,343,153,688,614,250,934
2,Andhra Pradesh,U,23,1,20,3118,313,3346,175,4,163,90,15,287,175,39,402
2,Andhra Pradesh,T,646,32,593,49278,1510,49032,737,15,707,433,168,975,789,289,1336
3,Arunachal Pradesh,R,73,16,71,2129,45,1940,527,109,344,307,182,134,14,22,17
3,Arunachal Pradesh,U,4,0,12,28,1,26,18,2,18,20,8,29,20,40,83
3,Arunachal Pradesh,T,77,16,83,2157,46,1966,545,111,362,327,190,163,34,62,100
4,Assam,R,204,93,202,20914,1046,31095,1838,131,2409,398,274,545,292,395,398
4,Assam,U,5,3,10,480,1,797,7,0,11,51,36,155,36,139,252
4,Assam,T,209,96,212,21394,1047,31892,1845,131,2420,449,310,700,328,534,650
5,Bihar,R,1205,301,1409,32633,5265,40530,123,63,154,135,182,240,186,339,304
5,Bihar,U,7,0,10,1757,27,2318,72,0,92,14,18,50,39,22,92
5,Bihar,T,1212,301,1419,34390,5292,42848,195,63,246,149,200,290,225,361,396
6,Chandigarh,R,1,0,1,36,0,44,4,0,4,11,1,51,18,1,55
6,Chandigarh,U,4,0,3,37,0,84,4,0,14,6,0,9,14,2,47
6,Chandigarh,T,5,0,4,73,0,128,8,0,18,17,1,60,32,3,102
7,Chhattisgarh,R,382,70,329,23706,273,23896,114,15,126,110,84,167,83,88,71
7,Chhattisgarh,U,2,1,1,732,1,961,37,0,64,44,23,79,4,4,2
7,Chhattisgarh,T,384,71,330,24438,274,24857,151,15,190,154,107,246,87,92,73
8,Dadra and Nagar Haveli,R,6,0,6,126,0,130,0,0,0,1,0,0,0,0,0
8,Dadra and Nagar Haveli,U,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0
