Sl. No.,State/U.T.,Area,Enrolment in - Balwadi - B,Enrolment in - Balwadi - G,Enrolment in - Balwadi - T,Enrolment in - Anganwadi - B,Enrolment in - Anganwadi - G,Enrolment in - Anganwadi - T,Enrolment in - ECCE Center - B,Enrolment in - ECCE Center - G,Enrolment in - ECCE Center - T,Enrolment in - Pre-Primary Schools having LKG/UKG/ Nursery Classes - B,Enrolment in - Pre-Primary Schools having LKG/UKG/ Nursery Classes - G,Enrolment in - Pre-Primary Schools having LKG/UKG/ Nursery Classes - T,Enrolment in - Unrecognised Schools Having Pre-Primary Classes - B,Enrolment in - Unrecognised Schools Having Pre-Primary Classes - G,Enrolment in - Unrecognised Schools Having Pre-Primary Classes - T,,,
1,Andaman & Nicobar Islands,R,180,191,371,5565,5505,11070,74,72,146,325,389,714,163,158,321,,,
1,Andaman & Nicobar Islands,U,10,10,20,2783,2757,5540,0,0,0,976,930,1906,0,0,0,,,
1,Andaman & Nicobar Islands,T,190,201,391,8348,8262,16610,74,72,146,1301,1319,2620,163,158,321,,,
2,Andhra Pradesh,R,7648,7787,15435,673234,677025,1350259,8060,7711,15771,13856,11391,25247,16184,13950,30134,,,
2,Andhra Pradesh,U,307,308,615,61294,61221,122515,2452,2454,4906,3704,3752,7456,7692,7709,15401,,,
2,Andhra Pradesh,T,7955,8095,16050,734528,738246,1472774,10512,10165,20677,17560,15143,32703,23876,21659,45535,,,
3,Arunachal Pradesh,R,835,803,1638,25242,24936,50178,5546,5355,10901,3551,3445,6996,284,258,542,,,
3,Arunachal Pradesh,U,178,143,321,483,471,954,530,559,1089,465,521,986,614,534,1148,,,
3,Arunachal Pradesh,T,1013,946,1959,25725,25407,51132,6076,5914,11990,4016,3966,7982,898,792,1690,,,
4,Assam,R,4286,4404,8690,451241,444873,896114,39807,39501,79308,9048,8272,17320,8806,7671,16477,,,
4,Assam,U,130,119,249,13045,13439,26484,106,94,200,1587,1470,3057,4421,3402,7823,,,
4,Assam,T,4416,4523,8939,464286,458312,922598,39913,39595,79508,10635,9742,20377,13227,11073,24300,,,
5,Bihar,R,26144,26100,52244,721230,714420,1435650,4747,4184,8931,5768,4674,10442,11589,10251,21840,,,
5,Bihar,U,155,164,319,39109,40469,79578,1463,1610,3073,803,763,1566,1191,885,2076,,,
5,Bihar,T,26299,26264,52563,760339,754889,1515228,6210,5794,12004,6571,5437,12008,12780,11136,23916,,,
6,Chandigarh,R,12,9,21,1230,1223,2453,61,50,111,972,818,1790,850,629,1479,,,
6,Chandigarh,U,58,58,116,1403,1543,2946,148,148,296,245,215,460,1213,921,2134,,,
6,Chandigarh,T,70,67,137,2633,2766,5399,209,198,407,1217,1033,2250,2063,1550,3613,,,
7,Chhattisgarh,R,7621,7212,14833,485769,458055,943824,1927,1889,3816,2575,2037,4612,2332,2070,4402,,,
7,Chhattisgarh,U,25,35,60,16267,15502,31769,1211,1018,2229,1145,1104,2249,60,46,106,,,
7,Chhattisgarh,T,7646,7247,14893,502036,473557,975593,3138,2907,6045,3720,3141,6861,2392,2116,4508,,,
8,Dadra & Nagar Haveli,R,229,209,438,3981,3786,7767,0,0,0,26,9,35,0,0,0,,,
8,Dadra & Nagar Haveli,U,0,0,0,428,398,826,0,0,0,0,0,0,0,0,0,,,
8,Dadra & Nagar Haveli,T,229,209,438,4409,4184,8593,0,0,0,26,9,35,0,0,0,,,
9,Daman & Diu,R,90,83,173,380,377,757,12,12,24,155,126,281,0,0,0,,,
9,Daman & Diu,U,72,82,154,453,465,918,0,0,0,217,114,331,0,0,0,,,
9,Daman & Diu,T,162,165,327,833,842,1675,12,12,24,372,240,612,0,0,0,,,
10,Delhi,R,10,12,22,14756,14382,29138,107,94,201,240,201,441,674,592,1266,,,
10,Delhi,U,141,139,280,57792,61708,119500,707,898,1605,472,430,902,4747,3878,8625,,,
10,Delhi,T,151,151,302,72548,76090,148638,814,992,1806,712,631,1343,5421,4470,9891,,,
11,Goa,R,0,0,0,7786,7815,15601,72,77,149,1178,1060,2238,364,315,679,,,
11,Goa,U,0,0,0,3776,3740,7516,49,33,82,1218,1002,2220,107,138,245,,,
11,Goa,T,0,0,0,11562,11555,23117,121,110,231,2396,2062,4458,471,453,924,,,
12,Gujarat,R,21246,19083,40329,525000,488733,1013733,9931,9516,19447,6746,5386,12132,1924,1778,3702,,,
12,Gujarat,U,1049,879,1928,37597,32310,69907,2152,1892,4044,1186,820,2006,85,86,171,,,
12,Gujarat,T,22295,19962,42257,562597,521043,1083640,12083,11408,23491,7932,6206,14138,2009,1864,3873,,,
13,Haryana,R,13576,11780,25356,320349,278329,598678,3155,2476,5631,4227,3419,7646,18644,7058,25702,,,
13,Haryana,U,1228,1183,2411,14327,11846,26173,524,457,981,734,612,1346,1416,967,2383,,,
13,Haryana,T,14804,12963,27767,334676,290175,624851,3679,2933,6612,4961,4031,8992,20060,8025,28085,,,
14,Himachal Pradesh,R,3763,3638,7401,142653,135480,278133,6252,6014,12266,2267,1769,4036,1566,1151,2717,,,
14,Himachal Pradesh,U,424,412,836,7637,7743,15380,79,67,146,1365,1055,2420,337,226,563,,,
14,Himachal Pradesh,T,4187,4050,8237,150290,143223,293513,6331,6081,12412,3632,2824,6456,1903,1377,3280,,,
15,Jammu & Kashmir,R,926,880,1806,127624,123621,251245,3713,3718,7431,341,300,641,278,240,518,,,
15,Jammu & Kashmir,U,196,156,352,8994,8821,17815,205,202,407,0,0,0,8,22,30,,,
15,Jammu & Kashmir,T,1122,1036,2158,136618,132442,269060,3918,3920,7838,341,300,641,286,262,548,,,
16,Jharkhand,R,9549,8838,18387,327962,330810,658772,3454,3590,7044,5542,3882,9424,9158,7899,17057,,,
16,Jharkhand,U,127,122,249,13048,13739,26787,954,1246,2200,2447,2018,4465,2203,2147,4350,,,
16,Jharkhand,T,9676,8960,18636,341010,344549,685559,4408,4836,9244,7989,5900,13889,11361,10046,21407,,,
17,Karnataka,R,25218,23810,49028,618972,619670,1238642,9054,8495,17549,21212,17266,38478,6019,4761,10780,,,
17,Karnataka,U,5806,5874,11680,81717,81882,163599,5094,5171,10265,39986,35608,75594,3694,3387,7081,,,
17,Karnataka,T,31024,29684,60708,700689,701552,1402241,14148,13666,27814,61198,52874,114072,9713,8148,17861,,,
18,Kerala,R,4466,4602,9068,170482,166573,337055,6960,6880,13840,12508,12203,24711,19804,18220,38024,,,
18,Kerala,U,870,764,1634,38672,37911,76583,1083,998,2081,4956,4359,9315,5843,5665,11508,,,
18,Kerala,T,5336,5366,10702,209154,204484,413638,8043,7878,15921,17464,16562,34026,25647,23885,49532,,,
19,Lakshadweep,R,45,50,95,997,936,1933,45,45,90,396,406,802,75,76,151,,,
19,Lakshadweep,U,28,28,56,775,713,1488,4,3,7,173,182,355,54,51,105,,,
19,Lakshadweep,T,73,78,151,1772,1649,3421,49,48,97,569,588,1157,129,127,256,,,
20,Madhya Pradesh,R,42383,40219,82602,869001,832230,1701231,6070,5946,12016,4206,3660,7866,6678,6671,13349,,,
20,Madhya Pradesh,U,703,726,1429,161100,156184,317284,11678,10271,21949,3816,3092,6908,131,120,251,,,
20,Madhya Pradesh,T,43086,40945,84031,1030101,988414,2018515,17748,16217,33965,8022,6752,14774,6809,6791,13600,,,
21,Maharashtra,R,119121,108178,227299,1424989,1303848,2728837,7217,5962,13179,37345,28135,65480,5627,4303,9930,,,
21,Maharashtra,U,28998,25382,54380,79782,76201,155983,4648,4131,8779,40613,32203,72816,4908,4024,8932,,,
21,Maharashtra,T,148119,133560,281679,1504771,1380049,2884820,11865,10093,21958,77958,60338,138296,10535,8327,18862,,,
22,Manipur,R,243,252,495,60443,62233,122676,3783,4135,7918,226,229,455,173,175,348,,,
22,Manipur,U,35,34,69,8417,8031,16448,1426,1298,2724,138,188,326,85,81,166,,,
22,Manipur,T,278,286,564,68860,70264,139124,5209,5433,10642,364,417,781,258,256,514,,,
23,Meghalaya,R,453,550,1003,39769,39876,79645,9740,7462,17202,11846,10745,22591,4667,4676,9343,,,
23,Meghalaya,U,0,0,0,1163,1369,2532,144,124,268,31,29,60,188,174,362,,,
23,Meghalaya,T,453,550,1003,40932,41245,82177,9884,7586,17470,11877,10774,22651,4855,4850,9705,,,
24,Mizoram,R,289,256,545,19900,19225,39125,1091,1000,2091,417,358,775,723,705,1428,,,
24,Mizoram,U,251,252,503,14828,14871,29699,294,289,583,561,561,1122,393,433,826,,,
24,Mizoram,T,540,508,1048,34728,34096,68824,1385,1289,2674,978,919,1897,1116,1138,2254,,,
25,Nagaland,R,1123,877,2000,41523,42266,83789,1204,1328,2532,1765,1844,3609,247,225,472,,,
25,Nagaland,U,1506,1577,3083,1369,1175,2544,0,0,0,0,0,0,0,0,0,,,
25,Nagaland,T,2629,2454,5083,42892,43441,86333,1204,1328,2532,1765,1844,3609,247,225,472,,,
26,Orissa,R,38818,32331,71149,709501,667965,1377466,11943,11683,23626,9595,6910,16505,5817,4535,10352,,,
26,Orissa,U,305,262,567,14340,13295,27635,354,343,697,2514,2073,4587,2616,1787,4403,,,
26,Orissa,T,39123,32593,71716,723841,681260,1405101,12297,12026,24323,12109,8983,21092,8433,6322,14755,,,
27,Puducherry,R,42,39,81,3942,3903,7845,42,43,85,824,804,1628,22,32,54,,,
27,Puducherry,U,38,45,83,4311,4047,8358,341,374,715,570,564,1134,132,129,261,,,
27,Puducherry,T,80,84,164,8253,7950,16203,383,417,800,1394,1368,2762,154,161,315,,,
28,Punjab,R,20695,18827,39522,297198,206082,503280,903,772,1675,4287,3171,7458,16823,12275,29098,,,
28,Punjab,U,194,167,361,12020,11206,23226,350,307,657,2220,1751,3971,6508,4966,11474,,,
28,Punjab,T,20889,18994,39883,309218,217288,526506,1253,1079,2332,6507,4922,11429,23331,17241,40572,,,
29,Rajasthan,R,33460,33323,66783,548032,518659,1066691,3666,3364,7030,4950,3757,8707,5449,4156,9605,,,
29,Rajasthan,U,4948,4938,9886,45525,44936,90461,1273,1296,2569,3956,3237,7193,548,357,905,,,
29,Rajasthan,T,38408,38261,76669,593557,563595,1157152,4939,4660,9599,8906,6994,15900,5997,4513,10510,,,
30,Sikkim,R,46,50,96,3309,3405,6714,750,811,1561,767,644,1411,544,472,1016,,,
30,Sikkim,U,51,48,99,175,211,386,48,53,101,42,32,74,8,4,12,,,
30,Sikkim,T,97,98,195,3484,3616,7100,798,864,1662,809,676,1485,552,476,1028,,,
31,Tamil Nadu,R,98679,97933,196612,266338,258737,525075,17626,17031,34657,35270,28998,64268,3594,3001,6595,,,
31,Tamil Nadu,U,13648,13689,27337,70552,66601,137153,2858,2735,5593,21387,18656,40043,1441,1334,2775,,,
31,Tamil Nadu,T,112327,111622,223949,336890,325338,662228,20484,19766,40250,56657,47654,104311,5035,4335,9370,,,
32,Tripura,R,1636,1492,3128,124217,118758,242975,9790,9232,19022,1247,968,2215,1610,1325,2935,,,
32,Tripura,U,470,452,922,12325,11741,24066,1007,992,1999,986,888,1874,257,255,512,,,
32,Tripura,T,2106,1944,4050,136542,130499,267041,10797,10224,21021,2233,1856,4089,1867,1580,3447,,,
33,Uttarakhand,R,2135,1957,4092,38801,39230,78031,5558,5565,11123,891,758,1649,2206,1655,3861,,,
33,Uttarakhand,U,39,50,89,3287,3194,6481,1721,1787,3508,1012,1380,2392,301,278,579,,,
33,Uttarakhand,T,2174,2007,4181,42088,42424,84512,7279,7352,14631,1903,2138,4041,2507,1933,4440,,,
34,Uttar Pradesh,R,46491,46272,92763,1728276,1698304,3426580,11338,10897,22235,13885,12288,26173,15818,15293,31111,,,
34,Uttar Pradesh,U,2593,2481,5074,132435,127322,259757,1711,1633,3344,1896,1449,3345,653,495,1148,,,
34,Uttar Pradesh,T,49084,48753,97837,1860711,1825626,3686337,13049,12530,25579,15781,13737,29518,16471,15788,32259,,,
35,West Bengal,R,12270,11496,23766,1705208,1636788,3341996,96452,92922,189374,30843,25855,56698,27617,21433,49050,,,
35,West Bengal,U,10,20,30,101685,97845,199530,4694,4679,9373,8289,7464,15753,10020,8793,18813,,,
35,West Bengal,T,12280,11516,23796,1806893,1734633,3541526,101146,97601,198747,39132,33319,72451,37637,30226,67863,,,
INDIA,INDIA,R,543728,513543,1057271,12504900,11948058,24452958,290150,277832,567982,249297,206177,455474,196329,158009,354338,,,
INDIA,INDIA,U,64593,60599,125192,1062914,1034907,2097821,49308,47162,96470,149710,128522,278232,61874,53294,115168,,,
INDIA,INDIA,T,608321,574142,1182463,13567814,12982965,26550779,339458,324994,664452,399007,334699,733706,258203,211303,469506,,,
